Control ID,Control Description,Risk ID,Business Service,Framework Reference,Control Owner,Implementation Status,Evidence,Notes
C0001,Implement control 1 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0001,Data Warehouse,ISO 27001 A.9 Access Control,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0002,Implement control 2 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0002,Endpoint Fleet,ISO 27001 A.12 Operations,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0003,Implement control 3 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0003,Customer Portal,ISO 27001 A.17 Business Continuity,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0004,Implement control 4 for Data Warehouse addressing NIST CSF PR.AC.,R0004,Data Warehouse,NIST CSF PR.AC,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0005,Implement control 5 for Endpoint Fleet addressing NIST CSF DE.CM.,R0005,Endpoint Fleet,NIST CSF DE.CM,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0006,Implement control 6 for Customer Portal addressing NIST CSF RS.MI.,R0006,Customer Portal,NIST CSF RS.MI,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0007,Implement control 7 for Data Warehouse addressing COBIT APO13.,R0007,Data Warehouse,COBIT APO13,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0008,Implement control 8 for Endpoint Fleet addressing COBIT DSS05.,R0008,Endpoint Fleet,COBIT DSS05,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0009,Implement control 9 for Customer Portal addressing COBIT DSS06.,R0009,Customer Portal,COBIT DSS06,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0010,Implement control 10 for Data Warehouse addressing SOC 2 CC6.,R0010,Data Warehouse,SOC 2 CC6,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0011,Implement control 11 for Endpoint Fleet addressing SOC 2 CC7.,R0011,Endpoint Fleet,SOC 2 CC7,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0012,Implement control 12 for Customer Portal addressing ISO 27001 A.5 Policies.,R0012,Customer Portal,ISO 27001 A.5 Policies,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0013,Implement control 13 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0013,Data Warehouse,ISO 27001 A.9 Access Control,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0014,Implement control 14 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0014,Endpoint Fleet,ISO 27001 A.12 Operations,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0015,Implement control 15 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0015,Customer Portal,ISO 27001 A.17 Business Continuity,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0016,Implement control 16 for Data Warehouse addressing NIST CSF PR.AC.,R0016,Data Warehouse,NIST CSF PR.AC,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0017,Implement control 17 for Endpoint Fleet addressing NIST CSF DE.CM.,R0017,Endpoint Fleet,NIST CSF DE.CM,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0018,Implement control 18 for Customer Portal addressing NIST CSF RS.MI.,R0018,Customer Portal,NIST CSF RS.MI,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0019,Implement control 19 for Data Warehouse addressing COBIT APO13.,R0019,Data Warehouse,COBIT APO13,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0020,Implement control 20 for Endpoint Fleet addressing COBIT DSS05.,R0020,Endpoint Fleet,COBIT DSS05,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0021,Implement control 21 for Customer Portal addressing COBIT DSS06.,R0021,Customer Portal,COBIT DSS06,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0022,Implement control 22 for Data Warehouse addressing SOC 2 CC6.,R0022,Data Warehouse,SOC 2 CC6,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0023,Implement control 23 for Endpoint Fleet addressing SOC 2 CC7.,R0023,Endpoint Fleet,SOC 2 CC7,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0024,Implement control 24 for Customer Portal addressing ISO 27001 A.5 Policies.,R0024,Customer Portal,ISO 27001 A.5 Policies,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0025,Implement control 25 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0025,Data Warehouse,ISO 27001 A.9 Access Control,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0026,Implement control 26 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0026,Endpoint Fleet,ISO 27001 A.12 Operations,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0027,Implement control 27 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0027,Customer Portal,ISO 27001 A.17 Business Continuity,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0028,Implement control 28 for Data Warehouse addressing NIST CSF PR.AC.,R0028,Data Warehouse,NIST CSF PR.AC,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
