Risk ID,Business Service,Risk Statement,Threat Event,Vulnerability,Impact Description,Likelihood (1-5),Impact (1-5),Inherent Risk,Existing Controls,Control Effectiveness (1-5),Residual Risk,Risk Owner,Treatment Option,Target Date,Status,Framework Mapping,Evidence/Notes
R0001,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,Change control; WAF and rate limiting; Vulnerability management,1,6,SOC Manager,Transfer,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0002,Email,"If ransomware affects email, then disruption could impact customers and revenue.",Ransomware,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,PAM enforced; SIEM detections; MFA,1,6,CISO,Avoid,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0003,SOC Tooling,"If insider misuse affects soc tooling, then disruption could impact customers and revenue.",Insider misuse,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,PAM enforced; Backups tested; SIEM detections,2,9,Security Architect,Avoid,2024-12-31,Accepted,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0004,ERP,"If ransomware affects erp, then disruption could impact customers and revenue.",Ransomware,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,PAM enforced; Change control; SIEM detections,2,14,Compliance Manager,Mitigate,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0005,Endpoint Fleet,"If supply chain compromise affects endpoint fleet, then disruption could impact customers and revenue.",Supply chain compromise,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,PAM enforced; Vulnerability management; EDR with containment,1,16,IT Ops Manager,Mitigate,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0006,Email,"If privilege escalation affects email, then disruption could impact customers and revenue.",Privilege escalation,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,EDR with containment; PAM enforced; MFA,4,12,Security Architect,Mitigate,2024-12-31,Closed,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0007,Customer Portal,"If ddos affects customer portal, then disruption could impact customers and revenue.",DDoS,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,Network segmentation; PAM enforced; MFA,4,9,Compliance Manager,Avoid,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0008,Data Warehouse,"If configuration drift affects data warehouse, then disruption could impact customers and revenue.",Configuration drift,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,SIEM detections; Change control; WAF and rate limiting,1,12,SOC Manager,Mitigate,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0009,Email,"If ddos affects email, then disruption could impact customers and revenue.",DDoS,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,Network segmentation; Change control; Backups tested,5,6,Security Architect,Transfer,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0010,Email,"If supply chain compromise affects email, then disruption could impact customers and revenue.",Supply chain compromise,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,MFA; PAM enforced; SIEM detections,5,4,Product Lead,Avoid,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
